id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
10214835,Pokemon Promo,Eevee V [Stamped] #SWSH065,$4.76,,,,,,,,,,,$1.00,$5.19,,,,,,70,Pokemon Card,,,,
1656616,Pokemon Promo,Eevee VMAX #SWSH087,$5.56,$8.00,$9.58,$16.87,$19.00,$50.23,$65.00,$23.44,$25.00,,,$1.20,$6.09,$1.80,$8.79,$2.80,$10.99,,527,Pokemon Card,232611,,,2020-04-26
4388090,Pokemon Promo,Eevee [Build-A-Bear] #63,$24.97,,$26.59,$53.89,$59.00,$223.90,$291.00,$95.00,$134.00,,,$8.10,$26.99,,,$8.70,$28.99,,128,Pokemon Card,155084,,,
11087829,Pokemon Promo,Eevee [Gym Promo] #198,$9.49,,,,,,,,,,,$2.00,$9.99,,,,,,1,Pokemon Card,,,,
4786026,Pokemon Promo,Eevee [Jr Stamp Rally] #11,$164.99,,$128.23,$141.00,$155.00,$573.75,$746.00,$250.00,$344.00,,,$90.50,$181.00,,,$70.50,$141.00,,57,Pokemon Card,,,,
9708511,Pokemon Promo,Eevee [KFC] #186/SM-P,$15.70,$11.51,$30.25,$43.78,$50.00,$92.72,$121.00,$74.00,$56.00,,,$4.30,$16.99,$3.30,$12.99,$9.90,$32.99,,97,Pokemon Card,,,,
8330103,Pokemon Promo,Eevee [Pokemon Center] #173,$76.20,$43.00,$53.25,$80.00,$116.25,$540.87,$703.00,$145.79,$325.00,,,$33.60,$83.99,$18.80,$46.99,$23.60,$58.99,,703,Pokemon Card,610757,,,
4793322,Pokemon Promo,Eevee on the Ball #2,$72.69,$14.94,$42.00,$73.00,$85.50,$311.14,$404.00,$127.51,$187.00,,,$32.00,$79.99,$4.00,$15.99,$18.40,$45.99,,225,Pokemon Card,223760,,,
2587652,Pokemon Promo,Eiscue #SWSH128,$1.90,,,,,,,$38.99,,,,,$2.09,,,,,,144,Pokemon Card,,,,
1656577,Pokemon Promo,Eldegoss #SWSH046,$1.99,$8.50,$14.50,$16.00,$18.00,$27.55,$36.00,$22.00,$17.00,,,,$2.19,$1.90,$9.39,$4.00,$15.99,,49,Pokemon Card,,,,2020-04-26
1656613,Pokemon Promo,Eldegoss V #SWSH084,$1.37,$1.00,$5.00,$9.83,$11.00,$22.16,$29.00,$23.90,$13.00,,,,$1.49,,$1.09,$1.10,$5.49,,294,Pokemon Card,232481,,,2020-04-26
10809513,Pokemon Promo,Eldegoss V [Jumbo] #84,,,,,,,,,,,,,,,,,,,0,Pokemon Card,,,,2025-01-01
5711032,Pokemon Promo,Eldegoss V [Jumbo] #SWSH084,$1.62,,,,,,,,,,,,$1.79,,,,,,12,Pokemon Card,,,,
643521,Pokemon Promo,Electabuzz #2,$7.68,$24.65,$29.54,$41.00,$45.00,$268.29,$349.00,$60.00,$161.00,,,$1.70,$8.49,$8.10,$26.99,$9.60,$31.99,,503,Pokemon Card,85107,,,1999-11-12
2386852,Pokemon Promo,Electabuzz #46,$31.95,$20.75,$33.48,$37.83,$42.00,$182.50,$237.00,$40.70,$110.00,,,$10.50,$34.99,$6.90,$22.99,$14.80,$36.99,,312,Pokemon Card,85111,,,2002-05-01
1563471,Pokemon Promo,Electrode #BW76,$12.82,$7.50,,$78.74,$87.00,$191.41,$249.00,$153.00,$115.00,,,$3.50,$13.99,$1.70,$8.29,,,,20,Pokemon Card,85164,,,2011-04-26
1563451,Pokemon Promo,Elgyem #BW55,$10.24,,,$64.30,$71.00,$157.46,$205.00,$126.00,$94.00,,,$2.80,$10.99,,,,,,8,Pokemon Card,85178,,,2011-04-26
10851277,Pokemon Promo,Elite Trainer Deck Shield: Dawn Wings Necrozma,$57.50,,,,,,,,,,,$25.20,$62.99,,,,,,9,Pokemon Card,210196,,,
12215042,Pokemon Promo,Elite Trainer Deck Shield: Groudon & Kyogre,,,,,,,,,,,,,,,,,,,0,Pokemon Card,210191,,,
1563419,Pokemon Promo,Emboar #BW21,$2.92,,$7.50,$16.99,$19.00,$68.66,$89.00,$55.00,$41.00,,,,$3.19,,,$1.70,$8.29,,56,Pokemon Card,85183,,,2011-04-26
1563452,Pokemon Promo,Empoleon #BW56,$5.59,,$15.50,$49.12,$54.00,$121.83,$158.00,$97.00,$73.00,,,$1.20,$6.19,,,$4.30,$16.99,,45,Pokemon Card,85202,,,2011-04-26
